Code,Basin,Short Name,Recoveries,,
2MS27P025VILA IS 06,NWVI,WSPT VILA IS (25-6),1,,
2MS27P026WALT CV 06,NWVI,WSPT WALT CV (26-6),1,,
2MS27P126WALT CV,NWVI,WSPT WALT CV (P126),1,,
2MS27P027WAUK CK 10,NWVI,WSPT WAUK CK (27-10),2,,
2MS27P027WINT HA 03,NWVI,WSPT WINT HA (27-3),406,,
2MS27H027WINT HA,NWVI,WSPT WINT HA [H027],115,,
2MS27P127WINT HA,NWVI,WSPT WINT HA (P127),679,,
2MS27P127WINT HO 01,NWVI,WSPT WINT HO (127-1),203,,
2MS27P126YELL BF,NWVI,WSPT YELL BF (P126),1,,
2MS27P025ZEBALLO 10,NWVI,WSPT ZEBALLO (25-10),15,,
2MS27P125ZEBALLO,NWVI,WSPT ZEBALLO (P125),10,,
2MS27H025ZEBALOO,NWVI,WSPT ZEBALOO [H025],1,,
2MS27P025ZUCI CH 15,NWVI,WSPT ZUCI CH (25-15),5,,
2MS28M23AALBE CA 02,SWVI,ACSPT ALBE CA (23-2),24,,
2MS28M23AALBE HA 01,SWVI,ACSPT ALBE HA (23-1),128,,
2MS28M23AALBE IN 01,SWVI,ACSPT ALBE IN (23-1),352,,
2MS28M23ABILT PT 02,SWVI,ACSPT BILT PT (23-2),16,,
2MS28M23ABOY SCO 01,SWVI,ACSPT BOY SCO (23-1),26,,
2MS28M23ACHES CR 02,SWVI,ACSPT CHES CR (23-2),11,,
2MS28M23ACHIN CR 01,SWVI,ACSPT CHIN CR (23-1),1121,,
2MS28M23ACLUTESI 01,SWVI,ACSPT CLUTESI (23-1),1,,
2MS28M23ACOLE CR 02,SWVI,ACSPT COLE CR (23-2),30,,
2MS28M23ACOUS CR 01,SWVI,ACSPT COUS CR (23-1),61,,
2MS28M23ADUNS PT 01,SWVI,ACSPT DUNS PT (23-1),171,,
2MS28M23AFRAN RV 02,SWVI,ACSPT FRAN RV (23-2),343,,
2MS28M23AHOCK PT 02,SWVI,ACSPT HOCK PT (23-2),63,,
2MS28M23AHOLM IS 01,SWVI,ACSPT HOLM IS (23-1),65,,
2MS28M23AHOOK BY 02,SWVI,ACSPT HOOK BY (23-2),4,,
2MS28M23AHUNT MR 01,SWVI,ACSPT HUNT MR (23-1),19,,
2MS28M23ALONE PT 01,SWVI,ACSPT LONE PT (23-1),452,,
2MS28M23A,SWVI,ACSPT M23A,343,,
2MS28M23AMACK CR 01,SWVI,ACSPT MACK CR (23-1),169,,
2MS28M23ANAHM BY 02,SWVI,ACSPT NAHM BY (23-2),63,,
