record_code,format_version,submission_date,reporting_agency,sampling_agency,recovery_id,species,run_year,recovery_date,recovery_date_type,period_type,period,fishery,gear,adclip_selective_fishery,estimation_level,recovery_location_code,sampling_site,recorded_mark,sex,weight,weight_code,weight_type,length,length_code,length_type,detection_method,tag_status,tag_code,tag_type,sequential_number,sequential_column_number,sequential_row_number,catch_sample_id,sample_type,sampled_maturity,sampled_run,sampled_length_range,sampled_sex,sampled_mark,estimated_number,recovery_location_name,record_origin,release_location_state,release_location_rmis_region,release_location_rmis_basin,hatchery_location_name,stock_location_name,brood_year,run,hatchery_location_code,stock_location_code,last_release_date_year
"R","4.1","20200204","CDFO","CDFO","S1200721","1","2019","20190702","R","5","07","40","07","N","3","2MS27P025CATA IS 13",,"5000",,,,,"740","0","1","V","1","184185","12",,,,"027D1107","1",,,,,,"1.01","WSPT  CATA IS (25-13)","N","BC","WCVI","SWVI","H-Robertson Creek H","S-Robertson Cr","2015","3","2FS  SWVIH0104","2FS  SWVIS0104","2016"
"R","4.1","20200204","CDFO","CDFO","S1428675","1","2019","20190715","R","5","07","40","07","N","4","2MS24P020LOGA CR 01",,"5000",,,,,"760","0","1","V","1","184071","12",,,,,"3",,,,,,"12.11","JFSPT LOGA CR (20-1)","N","BC","WCVI","SWVI","H-Robertson Creek H","S-Robertson Cr","2015","3","2FS  SWVIH0104","2FS  SWVIS0104","2016"
"R","4.1","20200204","CDFO","CDFO","S1126316","1","2019","20190704","R","5","07","40","07","N","3","2MS27P026SPRI IS 01",,"5000",,,,,"770","0","1","V","1","183693","12",,,,"027D1107","1",,,,,,"1.01","WSPT  SPRI IS (26-1)","N","BC","WCVI","SWVI","H-Robertson Creek H","S-Robertson Cr","2015","3","2FS  SWVIH0104","2FS  SWVIS0104","2016"
"R","4.1","20200204","CDFO","CDFO","S1198846","1","2019","20190505","R","5","05","40","07","N","3","2MS27P125",,"5000",,,,,,,,"V","1","091012","12",,,,"00271605","6",,,,,,"2.59","WSPT         P125","N","OR","LOCR","YOCL","BIG CR HATCHERY","BIG CR HATCHERY","2016","3","5F33202  H2     21","5F332    13","2017"
"R","4.1","20200204","CDFO","CDFO","S1375192","1","2019","20190706","R","5","07","40","07","N","3","2MS27P027GRNT BY 02",,"5000",,,,,"830","0","1","V","1","200118","0",,,,"027D1107","1",,,,,,"1.01","WSPT  GRNT BY (27-2)","N","WA","UPCR","MEOK","SIMILKAMEEN HATCHERY","OKANOGAN R   49.0019","2014","2","3F42001  490325 H01","3F42001  490019 S","2016"
"R","4.1","20200204","CDFO","CDFO","S1341931","1","2019","20190707","R","5","07","40","07","N","3","2MS27P021NITINAT",,"5000","M",,,,"710","0","1","V","1","184166","12",,,,"027D1107","1",,,,,,"1.01","WSPT  NITINAT (P021)","N","BC","GST","GSMS","H-Sandy Cove Seapen","S-Chilliwack R","2016","3","2MS  GSMNH1265","2FS  LWFRS0107","2017"
"R","4.1","20200204","CDFO","CDFO","S1375306","1","2019","20190708","R","5","07","40","07","N","4","2MN26P011",,"5000",,,,,"720","0","1","V","1","183474","12",,,,,"3",,,,,,"2.73","CSPT         P011","N","BC","WCVI","SWVI","H-Robertson Creek H","S-Robertson Cr","2015","3","2FS  SWVIH0104","2FS  SWVIS0104","2016"
"R","4.1","20200204","CDFO","CDFO","S1388751","1","2019","20190718","R","5","07","40","07","N","3","2MS27P021NITINAT",,"5000",,,,,,,,"V","1","055824","12",,,,"00271607","6",,,,,,"7.22","WSPT  NITINAT (P021)","N","WA","CECR","WIND","SPRING CR NFH","SPRING CR    29.0159","2016","3","3F42001  290159 H","3F42001  290159 S","2017"
"R","4.1","20200204","CDFO","CDFO","S1337271","1","2019","20190715","R","5","07","40","07","N","3","2MS23P017",,"5000",,,,,"630","0","1","V","1","211242","12",,,,"00231607","6",,,,,,"3.38","GSPTS        P017","N","WA","NPS","STIL","BRENNER HATCHERY","STILLAGUAMISH R","2016","3","3F10308  050358AH","3F10308  050001 S","2017"
"R","4.1","20200204","CDFO","CDFO","S1375175","1","2019","20190606","R","5","06","40","07","N","4","2MN26P011CP SUTI 01",,"5000",,,,,"780","0","1","V","1","184282","12",,,,,"3",,,,,,"10.41","CSPT  CP SUTI (11-1)","N","BC","WCVI","SWVI","H-Alberni Inlet Seapen","S-Robertson Cr","2015","3","2MS  SWVIH9049","2FS  SWVIS0104","2016"
