CRUISE NUMBER,STATION,SPECIES,FISH NUMBER,FL (mm),WT (mm),CWT,FIN CLIP,SEX,OTOLITH #,(0/1),DNA #,SAMPLE,1-PREY,1-VOL (cc),1-D,2-PREY,2-VOL (cc),2-D,3-PREY,3-VOL (cc),3-D,COMMENTS
2019-125,JS06,PINK,012,185,69,,,,,,,,,,,,,,,,,
2019-125,JS06,PINK,013,159,40,,,,,,,,,,,,,,,,,
2019-125,JS06,PINK,014,160,43,,,,,,,,,,,,,,,,,
2019-125,JS06,PINK,015,162,42,,,,,,,,,,,,,,,,,
2019-125,JS06,PINK,016,163,44,,,,,,,,,,,,,,,,,
2019-125,JS06,PINK,017,161,42,,,,,,,,,,,,,,,,,
2019-125,JS06,PINK,018,156,39,,,,,,,,,,,,,,,,,
2019-125,JS06,PINK,019,154,39,,,,,,,,,,,,,,,,,
2019-125,JS06,PINK,020,177,55,,,,,,,,,,,,,,,,,
2019-125,JS06,PINK,021,152,35,,,,,,,,,,,,,,,,,
2019-125,JS06,PINK,022,149,33,,,,,,,,,,,,,,,,,
2019-125,JS06,CHINOOK,001,195,84,,,,CK-1-B8,,124320,W,92A,0.01,1,OAA,0.01,3,M011,0.01,5,
2019-125,JS06,CHUM,001,170,51,,,,CM-1-B10,,112322,W,OAA,1.5,1,M011,0.4,5,,,,
2019-125,JS07,SOCKEYE,001,157,36,,,,SE-1-A6,,118106,W,OAA,0.01,3,,,,,,,BLOOD 337
2019-125,JS07,SOCKEYE,002,164,41,,,,SE-1-A7,,118107,W,OAA,0.1,3,,,,,,,BLOOD 338
2019-125,JS07,SOCKEYE,003,144,30,,,,SE-1-A8,,118108,W,OAA,0.1,3,,,,,,,BLOOD 339
2019-125,JS07,SOCKEYE,004,162,39,,,,SE-1-A9,,118109,W,OAA,0.01,3,,,,,,,BLOOD 340
2019-125,JS07,SOCKEYE,005,160,40,,,,SE-1-A10,,118110,W,OAA,0.01,3,,,,,,,BLOOD 341
2019-125,JS07,SOCKEYE,006,167,50,,,,SE-1-A11,,118111,W,OAA,0.01,3,,,,,,,BLOOD 342
2019-125,JS07,SOCKEYE,007,162,42,,,,SE-1-A12,,118112,W,OAA,0.01,3,,,,,,,BLOOD 343
2019-125,JS07,SOCKEYE,008,147,33,,,,SE-1-B1,,118113,W,OAA,0.01,3,,,,,,,BLOOD 344
2019-125,JS07,SOCKEYE,009,156,38,,,,SE-1-B2,,118114,W,OAA,0.01,3,,,,,,,BLOOD 345
2019-125,JS07,SOCKEYE,010,145,29,,,,SE-1-B3,,118115,W,OAA,0.1,3,,,,,,,BLOOD 346
2019-125,JS07,SOCKEYE,011,146,35,,,,,,,,,,,,,,,,,
2019-125,JS07,SOCKEYE,012,146,32,,,,,,,,,,,,,,,,,
2019-125,JS07,SOCKEYE,013,150,35,,,,,,,,,,,,,,,,,
2019-125,JS07,SOCKEYE,014,147,35,,,,,,,,,,,,,,,,,
2019-125,JS07,SOCKEYE,015,152,35,,,,,,,,,,,,,,,,,
2019-125,JS07,SOCKEYE,016,154,39,,,,,,,,,,,,,,,,,
2019-125,JS07,SOCKEYE,017,141,27,,,,,,,,,,,,,,,,,
2019-125,JS07,SOCKEYE,018,163,44,,,,,,,,,,,,,,,,,
2019-125,JS07,SOCKEYE,019,147,32,,,,,,,,,,,,,,,,,
2019-125,JS07,SOCKEYE,020,155,38,,,,,,,,,,,,,,,,,
2019-125,JS07,SOCKEYE,021,155,38,,,,,,,,,,,,,,,,,
2019-125,JS07,SOCKEYE,022,139,28,,,,,,,,,,,,,,,,,
2019-125,JS07,SOCKEYE,023,145,32,,,,,,,,,,,,,,,,,
2019-125,JS07,SOCKEYE,024,145,32,,,,,,,,,,,,,,,,,
2019-125,JS07,PINK,001,144,27,,,,PK-1-C8,,108233,W,OAA,0.01,3,,,,,,,
2019-125,JS07,PINK,002,168,42,,,,PK-1-C9,,108234,W,OAA,0.01,5,,,,,,,
2019-125,JS07,PINK,003,160,41,,,,PK-1-C10,,108235,W,OAA,0.01,3,,,,,,,
