"FISH_NUMBER","DATE_CAPTURED","SPECIES","SHIP_FL","SHIP_SL","SHIP_TL","SHIP_ML","SHIP_WT","OTOLITH","CWT_AGE","GONAD_WT","FIN_CL","SEX","SAMPLE","COMMENTS","TEMPORARY_TAG"
"BCSI-2019125-JS02-112-010","Tuesday, Oct 1, 2019","CHUM",195,"","","",76,"CM-1-B8","","","","","M","",""
"BCSI-2019125-JS02-112-011","Tuesday, Oct 1, 2019","CHUM",203,"","","",96,"","","","","","","",""
"BCSI-2019125-JS02-112-012","Tuesday, Oct 1, 2019","CHUM",190,"","","",71,"","","","","","","",""
"BCSI-2019125-JS02-NA-001","Tuesday, Oct 1, 2019","HERRING",104,"","","",10,"","","","","","W","",""
"BCSI-2019125-JS02-NA-002","Tuesday, Oct 1, 2019","HERRING",109,"","","",13,"","","","","","W","",""
"BCSI-2019125-JS02-NA-003","Tuesday, Oct 1, 2019","HERRING",104,"","","",11,"","","","","","W","",""
"BCSI-2019125-JS02-NA-004","Tuesday, Oct 1, 2019","HERRING",84,"","","",5,"","","","","","W","",""
"BCSI-2019125-JS02-NA-005","Tuesday, Oct 1, 2019","HERRING",98,"","","",9,"","","","","","W","",""
"BCSI-2019125-JS03-124-001","Tuesday, Oct 1, 2019","CHINOOK",150,"","","",35,"CK-1-B4","","","","","W","",""
"BCSI-2019125-JS03-118-001","Tuesday, Oct 1, 2019","SOCKEYE",151,"","","",32,"SE-1-A2","","","","","W","BLOOD 333",""
"BCSI-2019125-JS04-118-001","Tuesday, Oct 1, 2019","SOCKEYE",153,"","","",36,"SE-1-A3","","","","","W","BLOOD 334",""
"BCSI-2019125-JS04-118-002","Tuesday, Oct 1, 2019","SOCKEYE",160,"","","",40,"SE-1-A4","","","","","W","BLOOD 335",""
"BCSI-2019125-JS04-108-001","Tuesday, Oct 1, 2019","PINK",182,"","","",56,"PK-1-A12","","","","","W","",""
"BCSI-2019125-JS04-108-002","Tuesday, Oct 1, 2019","PINK",164,"","","",38,"PK-1-B1","","","","","W","",""
"BCSI-2019125-JS04-124-001","Tuesday, Oct 1, 2019","CHINOOK",171,"","","",41,"CK-1-B5","","","","","W","WAA ADULT CRAB",""
"BCSI-2019125-JS05-118-001","Tuesday, Oct 1, 2019","SOCKEYE",153,"","","",36,"SE-1-A5","","","","","W","",""
"BCSI-2019125-JS05-124-001","Tuesday, Oct 1, 2019","CHINOOK",214,"","","",110,"CK-1-B6","","","","","W","",""
"BCSI-2019125-JS05-124-002","Tuesday, Oct 1, 2019","CHINOOK",171,"","","",53,"CK-1-B7","","","","","W","",""
"BCSI-2019125-JS05-112-001","Tuesday, Oct 1, 2019","CHUM",191,"","","",73,"CM-1-B9","","","","","W","",""
"BCSI-2019125-JS05-108-001","Tuesday, Oct 1, 2019","PINK",159,"","","",41,"PK-1-B2","","","","","W","",""
"BCSI-2019125-JS05-108-002","Tuesday, Oct 1, 2019","PINK",158,"","","",43,"PK-1-B3","","","","","W","",""
"BCSI-2019125-JS05-108-003","Tuesday, Oct 1, 2019","PINK",158,"","","",39,"PK-1-B4","","","","","W","",""
"BCSI-2019125-JS05-108-004","Tuesday, Oct 1, 2019","PINK",167,"","","",40,"PK-1-B5","","","","","W","",""
"BCSI-2019125-JS05-108-005","Tuesday, Oct 1, 2019","PINK",149,"","","",30,"PK-1-B6","","","","","W","",""
"BCSI-2019125-JS05-108-006","Tuesday, Oct 1, 2019","PINK",150,"","","",30,"PK-1-B7","","","","","M","",""
"BCSI-2019125-JS05-108-007","Tuesday, Oct 1, 2019","PINK",157,"","","",39,"PK-1-B8","","","","","M","",""
"BCSI-2019125-JS05-108-008","Tuesday, Oct 1, 2019","PINK",192,"","","",69,"PK-1-B9","","","","","M","",""
"BCSI-2019125-JS06-108-001","Tuesday, Oct 1, 2019","PINK",171,"","","",49,"PK-1-B10","","","","","W","",""
"BCSI-2019125-JS06-108-002","Tuesday, Oct 1, 2019","PINK",162,"","","",46,"PK-1-B11","","","","","W","",""
"BCSI-2019125-JS06-108-003","Tuesday, Oct 1, 2019","PINK",164,"","","",43,"PK-1-B12","","","","","W","",""
"BCSI-2019125-JS06-108-004","Tuesday, Oct 1, 2019","PINK",152,"","","",37,"PK-1-C1","","","","","W","",""
"BCSI-2019125-JS06-108-005","Tuesday, Oct 1, 2019","PINK",166,"","","",48,"PK-1-C2","","","","","W","",""
"BCSI-2019125-JS06-108-006","Tuesday, Oct 1, 2019","PINK",160,"","","",43,"PK-1-C3","","","","","M","",""
"BCSI-2019125-JS06-108-007","Tuesday, Oct 1, 2019","PINK",167,"","","",49,"PK-1-C4","","","","","M","",""
"BCSI-2019125-JS06-108-008","Tuesday, Oct 1, 2019","PINK",182,"","","",60,"PK-1-C5","","","","","M","",""
"BCSI-2019125-JS06-108-009","Tuesday, Oct 1, 2019","PINK",190,"","","",74,"PK-1-C6","","","","","M","",""
"BCSI-2019125-JS06-108-010","Tuesday, Oct 1, 2019","PINK",153,"","","",38,"PK-1-C7","","","","","M","",""
"BCSI-2019125-JS06-108-011","Tuesday, Oct 1, 2019","PINK",158,"","","",40,"","","","","","","",""
"BCSI-2019125-JS06-108-012","Tuesday, Oct 1, 2019","PINK",185,"","","",69,"","","","","","","",""
"BCSI-2019125-JS06-108-013","Tuesday, Oct 1, 2019","PINK",159,"","","",40,"","","","","","","",""
"BCSI-2019125-JS06-108-014","Tuesday, Oct 1, 2019","PINK",160,"","","",43,"","","","","","","",""
